Неделя,Количество_объектов,Новые_пользователи,Всего_пользователей,Среднее_на_объект,Пользователи_МП,Активные_МП,Проникновение_МП_%,Прирост_объектов,Прирост_всего_пользователей
W38(2025),210.0,303.0,91071.0,433.6714286,1276.0,32473.0,35.65679524766391,10.0,303.0
W39(2025),210.0,395.0,91466.0,435.552381,1191.0,32824.0,35.88655893993396,0.0,395.0
W40(2025),210.0,298.0,91764.0,436.9714286,1057.0,33065.0,36.03264896909463,0.0,298.0
W41(2025),211.0,333.0,92097.0,436.478673,955.0,32769.0,35.58096354930128,1.0,333.0
W42(2025),212.0,285.0,92382.0,435.7641509,812.0,32945.0,35.66170899092897,1.0,285.0
W43(2025),215.0,267.0,92649.0,430.9255814,745.0,32886.0,35.49525628986821,3.0,267.0
W44(2025),217.0,299.0,92948.0,428.3317972,1529.0,32311.0,34.76244782028661,2.0,299.0
W45(2025),217.0,330.0,93278.0,429.8525346,398.0,33409.0,35.816591264821284,0.0,330.0
W46(2025),217.0,265.0,93543.0,431.0737327,679.0,33359.0,35.66167431021028,0.0,265.0
W47(2025),217.0,265.0,93808.0,432.2949309,843.0,33105.0,35.29016714992325,0.0,265.0
W48(2025),217.0,371.0,94179.0,434.0046083,884.0,33228.0,35.28175070875673,0.0,371.0
W49(2025),218.0,375.0,94554.0,433.733945,731.0,33313.0,35.23171944074285,1.0,375.0
W50(2025),218.0,272.0,94826.0,434.9816514,646.0,33545.0,35.37531900533609,0.0,272.0
W51(2025),219.0,353.0,95179.0,434.6073059,56.0,33723.0,35.431135019279466,1.0,353.0
W52(2025),219.0,458.0,95637.0,436.6986301,1174.0,34938.0,36.53188619467361,0.0,458.0
W1(2026),219.0,344.0,95981.0,438.2694064,698.0,32933.0,34.31199924985153,0.0,344.0
W2(2026),219.0,311.0,96292.0,439.6894977,647.0,29026.0,30.14372948946953,0.0,311.0
