,priority,category,company_name,phone,email,website,vk_url,telegram,whatsapp,rating,reviews_count,address,works_in_suburbs,description,source,status,contact_date,manager_comment
1,P3,Комплексный сервис,Обслуживание загородных домов комплексный сервис — Аппес,,,https://appes.ru/,,,,,,,,Компания АППЕС возьмет на себя решение всех проблемных сторон по комплексному обслуживанию загородных домов и коттеджных посёлков.,Firecrawl Search,Не обработан,,
2,P3,Клининг,Уборка дачных домов в подмосковье - Клининговая компания,,,https://cleanfox-msk.ru/uborka-domov/uborka-dachnyh-domov-v-podmoskove/,,,,,,,,"Как мы работаем ; 01. Оставьте заявку на услуги. В форме заказа, или позвоните по телефону 8 (499) 391-37-88 ; 02. Звонок от менеджера ; 03. Осмотр дачного дома.",Firecrawl Search,Не обработан,,
3,P3,Сантехника,Услуги сантехника на дом в Коттеджных посёлках (КП) Москвы,,,https://uslugi-santehnika-vizov.ru/kontakty/kp/,,,,,,,,"Мастера компании Услуги Сантехника работают во всех КП Москвы круглосуточно. Смотрите фото, цены на услуги, заказывайте вызов мастера на дом. Звоните!",Firecrawl Search,Не обработан,,
4,P3,Клининг,Поддерживающая уборка коттеджа - Чистый офис,,,https://moscow-klining.ru/kliningovye-uslugi/podderzhivayushchaya-uborka-kottedzhey/,,,,,,,,Заказать поддерживающую уборку коттеджа в Москве от клининговой компании «Чистый офис». Поддерживающий клининг коттеджей недорого.,Firecrawl Search,Не обработан,,
5,P3,Клининг,Уборка по подписке в Москве и Подмосковье - цена от 2925 руб,,,https://proffclean24.ru/uborka-po-podpiske/,,,,,,,,Профессиональные услуги по клинингу ✓: уборка по подписке во всех районах Москвы и Подмосковья по привлекательным ценам.☝ Профессиональные клинеры с большим ...,Firecrawl Search,Не обработан,,
6,P3,Клининг,заказать генеральную экспресс-уборку коттеджа в Москве,,,https://www.svcleaning.ru/our_services/uborka_kottedzhej1/express.html,,,,,,,,Профессиональная экспресс-уборка коттеджей в Москве и Московской области. ✓ Заказать генеральную экспресс-уборку от 49 руб/м2. ✓ Опытные клиннеры.,Firecrawl Search,Не обработан,,
